date,volatility_state,trend_state,participation_state,volume_state,raw_regime,is_canonical,distance,confirmed_regime,days_in_regime,provisional_regime,provisional_days,regime_confirmed
2018-06-25,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,21,,0,False
2018-06-26,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,22,,0,False
2018-06-27,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,23,,0,False
2018-06-28,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,24,,0,False
2018-06-29,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,25,,0,False
2018-07-02,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,26,,0,False
2018-07-03,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,27,,0,False
2018-07-04,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,28,,0,False
2018-07-05,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,29,,0,False
2018-07-06,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,30,,0,False
2018-07-09,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,31,,0,False
2018-07-10,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,32,,0,False
2018-07-11,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,33,,0,False
2018-07-12,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,34,,0,False
2018-07-13,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,35,,0,False
2018-07-16,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,36,,0,False
2018-07-17,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,37,,0,False
2018-07-18,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,38,,0,False
2018-07-19,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,39,,0,False
2018-07-20,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,40,,0,False
2018-07-23,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,41,,0,False
2018-07-24,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,42,,0,False
2018-07-25,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,43,,0,False
2018-07-26,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,44,,0,False
2018-07-27,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,45,,0,False
2018-07-30,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,46,,0,False
2018-07-31,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,47,,0,False
2018-08-01,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,48,,0,False
2018-08-02,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,49,,0,False
2018-08-03,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,50,,0,False
2018-08-06,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,51,,0,False
2018-08-07,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,52,,0,False
2018-08-08,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,53,,0,False
2018-08-09,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,54,,0,False
2018-08-10,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,55,,0,False
2018-08-13,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,56,,0,False
2018-08-14,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,57,,0,False
2018-08-16,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,58,,0,False
2018-08-17,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,59,,0,False
2018-08-20,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,60,,0,False
2018-08-21,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,61,,0,False
2018-08-23,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,62,,0,False
2018-08-24,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,63,,0,False
2018-08-27,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,64,,0,False
2018-08-28,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,65,,0,False
2018-08-29,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,66,,0,False
2018-08-30,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,67,,0,False
2018-08-31,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,68,,0,False
2018-09-03,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,69,,0,False
2018-09-04,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,70,,0,False
2018-09-05,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,71,,0,False
2018-09-06,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,72,,0,False
2018-09-07,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,73,,0,False
2018-09-10,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,74,,0,False
2018-09-11,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,75,,0,False
2018-09-12,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,76,,0,False
2018-09-14,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,77,,0,False
2018-09-17,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,78,,0,False
2018-09-18,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,79,,0,False
2018-09-19,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,80,,0,False
2018-09-21,Moderate,Mild Down,Broad,Normal,Slow Bleed,False,0.1125,Slow Bleed,81,,0,False
